"PVWatts Hourly PV Performance Data"
"Requested Location","symlar"
"Location","Lat, Lng: 34.33, -118.46"
"Latitude (DD)","34.33"
"Longitude (DD)","-118.46"
"Elevation (m)","655.79998779297"
"DC System Size (kW)","4000"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","17","4","0","0","5","1.7","0.15","0","5","0","0"
"4","17","5","66","10","8","1.9","0.15","9.513","8.216","22426.497","5777.587"
"4","17","6","553","61","11","2.6","0.15","170.043","14.516","497908.191","464411.074"
"4","17","7","761","85","14","3.6","0.15","422.247","21.761","1450335.118","1383089.728"
"4","17","8","862","101","17","3.7","0.15","668.809","29.135","2262916.817","2166878.427"
"4","17","9","919","110","19","3.1","0.15","870.822","36.327","2836341.947","2719984.825"
"4","17","10","950","115","21","2.2","0.15","1013.738","44.667","3169106.852","3040958.546"
"4","17","11","963","118","22","1.4","0.15","1084.118","51.954","3275779.539","3143851.395"
"4","17","12","959","119","22","0.9","0.15","1074.147","55.544","3198073.171","3068898.473"
"4","17","13","945","113","23","1.3","0.15","986.731","50.932","3010202.872","2887685.166"
"4","17","14","906","108","22","2","0.15","827.103","42.131","2638031.142","2528700.959"
"4","17","15","836","98","21","2.6","0.15","611.061","34.298","2030915.932","1943098.255"
"4","17","16","749","74","20","2.4","0.15","366.512","28.21","1202463.45","1144001.139"
"4","17","17","510","49","17","1.6","0.15","120.514","19.945","310839.202","283970.683"
"4","17","18","0","0","14","1.2","0.15","0","14","0","0"
"4","17","19","0","0","12","1.5","0.15","0","12","0","0"
"4","17","20","0","0","11","1.6","0.15","0","11","0","0"
"4","17","21","0","0","10","1.5","0.15","0","10","0","0"
"4","17","22","0","0","10","1.4","0.15","0","10","0","0"
"4","17","23","0","0","9","1.4","0.15","0","9","0","0"
"4","18","0","0","0","9","1.4","0.15","0","9","0","0"
"4","18","1","0","0","8","1.6","0.15","0","8","0","0"
"4","18","2","0","0","8","1.8","0.15","0","8","0","0"
"4","18","3","0","0","8","2","0.15","0","8","0","0"
"4","18","4","0","0","8","2.1","0.15","0","8","0","0"
"4","18","5","93","11","10","2.6","0.15","10.464","10.207","24541.248","7817.404"
"4","18","6","579","59","13","3.5","0.15","174.48","16.101","507053.31","473232.145"
"4","18","7","771","84","17","4.2","0.15","426.939","24.189","1453740.386","1386374.334"
"4","18","8","867","99","20","4.4","0.15","671.144","31.016","2254129.35","2158402.334"
"4","18","9","920","110","23","4.1","0.15","872.507","37.895","2823785.053","2707872.871"
"4","18","10","953","114","24","3.8","0.15","1016.092","42.091","3209219.59","3079649.93"
"4","18","11","964","117","25","3.3","0.15","1084.36","45.839","3360316.195","3225392.581"
"4","18","12","961","117","26","2.8","0.15","1074.135","48.442","3294892.787","3162287.385"
"4","18","13","946","113","26","2.3","0.15","987.561","48.621","3041532.369","2917904.534"
"4","18","14","910","107","26","1.9","0.15","829.114","46.596","2596383.498","2488529.057"
"4","18","15","848","97","25","1.6","0.15","617.205","41.389","1993894.313","1907388.46"
"4","18","16","740","79","23","1","0.15","368.002","34.172","1179343.849","1121700.757"
"4","18","17","508","52","20","0.5","0.15","123.165","23.984","315083.704","288064.785"
"4","18","18","0","0","18","0.7","0.15","0","18","0","0"
"4","18","19","0","0","16","1.1","0.15","0","16","0","0"
"4","18","20","0","0","16","1.3","0.15","0","16","0","0"
"4","18","21","0","0","15","1.4","0.15","0","15","0","0"
"4","18","22","0","0","15","1.5","0.15","0","15","0","0"
"4","18","23","0","0","14","1.5","0.15","0","14","0","0"
"4","19","0","0","0","13","1.5","0.15","0","13","0","0"
"4","19","1","0","0","12","1.6","0.15","0","12","0","0"
"4","19","2","0","0","12","1.6","0.15","0","12","0","0"
"4","19","3","0","0","12","1.8","0.15","0","12","0","0"
"4","19","4","0","0","12","2","0.15","0","12","0","0"
"4","19","5","113","13","14","2.9","0.15","12.367","14.232","28666.486","11796.468"
"4","19","6","607","58","17","3.9","0.15","180.362","20.017","516045.861","481906.054"
"4","19","7","792","82","21","4.7","0.15","435.482","27.853","1463009.537","1395315.042"
"4","19","8","881","99","24","5.1","0.15","681.359","34.21","2259834.387","2163905.219"
"4","19","9","928","112","26","5.2","0.15","881.922","39.02","2840632.439","2724123.287"
"4","19","10","952","122","27","5.2","0.15","1023.741","42.091","3231842.681","3101471.395"
"4","19","11","957","129","28","5","0.15","1089.694","44.457","3394184.968","3258061.25"
"4","19","12","949","132","29","4.7","0.15","1077.369","45.911","3337640.162","3203520.051"
"4","19","13","944","121","29","4.3","0.15","993.696","45.473","3099054.659","2973388.581"
"4","19","14","895","121","29","3.9","0.15","831.221","43.609","2633508.056","2524338.144"
"4","19","15","820","113","28","3.4","0.15","616.218","39.715","2002532.26","1915720.329"
"4","19","16","693","95","25","2.2","0.15","365.054","33.498","1174162.651","1116703.15"
"4","19","17","440","62","22","1.4","0.15","122.885","25.192","324497.615","297145.125"
"4","19","18","0","0","19","1.5","0.15","0","19","0","0"
"4","19","19","0","0","17","1.7","0.15","0","17","0","0"
"4","19","20","0","0","16","1.8","0.15","0","16","0","0"
"4","19","21","0","0","15","1.7","0.15","0","15","0","0"
"4","19","22","0","0","15","1.7","0.15","0","15","0","0"
"4","19","23","0","0","14","1.7","0.15","0","14","0","0"
"4","20","0","0","0","14","1.7","0.15","0","14","0","0"
"4","20","1","0","0","14","1.8","0.15","0","14","0","0"
"4","20","2","0","0","13","1.9","0.15","0","13","0","0"
"4","20","3","0","0","13","1.9","0.15","0","13","0","0"
"4","20","4","0","0","13","2","0.15","0","13","0","0"
"4","20","5","103","15","15","2.1","0.15","14.269","15.311","33131.734","16103.495"
"4","20","6","437","68","19","2.9","0.15","156.128","22.091","455264.545","423278.462"
"4","20","7","784","86","23","3.9","0.15","437.169","30.685","1453013.215","1385672.929"
"4","20","8","879","101","26","4.3","0.15","683.147","37.367","2237042.922","2141921.347"
"4","20","9","931","111","29","4.4","0.15","884.16","43.475","2796890.599","2681931.394"
"4","20","10","961","116","30","4.1","0.15","1026.609","47.498","3170253.25","3042064.322"
"4","20","11","972","119","31","3.7","0.15","1094.756","50.77","3322430.849","3188849.664"
"4","20","12","969","118","31","3.2","0.15","1083.041","52.153","3269780.109","3138064.549"
